SlNo,State,CollegeName,District,University,Management,YearOfInception,AnnualIntake
702,Uttar Pradesh,Rajkiya Allopathic Medical College Bahraich,Bahraich,King Georges Medical University Lucknow,Govt.,2019,100
703,Uttar Pradesh,Government Medical College Shahjahanpur,Shahjahanpur,King Georges Medical University Lucknow,Govt.,2019,100
704,Uttar Pradesh,Government Medical College Firozabad,Firozabad,King Georges Medical University Lucknow,Govt.,2019,100
705,Uttar Pradesh,Government Institute of Medical Sciences Kasna Greater Noida,Greater Noida,King Georges Medical University Lucknow,Govt-Society,2019,100
706,Uttar Pradesh,National Capital Region Institute of Medical Sciences Meerut,Meerut,Ch. Charan Singh University Meerut,Society,2018,150
707,Uttar Pradesh,G.S. Medical College & Hospital Hapur,Hapur,Ch. Charan Singh University Meerut,Trust,2017,250
708,Uttar Pradesh,Dr. Ram Manohar Lohia Institute of Medical Sciences Lucknow,Lucknow,Dr. Ram Manohar Lohia Institute of Medical Sciences Lucknow Deemed,Govt.,2017,200
709,Uttar Pradesh,Varun Arjun Medical College Banthra Shahjahanpur,Shahjahanpur,Mahatma Jyotiba Phule Rohilkhand University,Trust,2016,250
710,Uttar Pradesh,Saraswati Medical College Unnao,Unnao,CSJM University Kanpur,Trust,2016,150
711,Uttar Pradesh,Krishna Mohan Medical College & Hospital Mathura,Mathura,Dr B R Ambedkar University Agra,Society,2016,150
712,Uttar Pradesh,Venkateshwara Institute of Medical Sciences Gajraula,Gajraula,Shri Venkateshwara University Gajraula,Trust,2016,250
713,Uttar Pradesh,Prasad Institute of Medical Sciences Lucknow,Lucknow,Dr. Ram Manohar Lohia Avadh University Faizabad,Trust,2016,150
714,Uttar Pradesh,T S Misra Medical College & Hospital Amusi Lucknow,Lucknow,T.S. Misra University,Private,2016,250
715,Uttar Pradesh,Government Allopathic Medical College Banda,Banda,King Georges Medical University Lucknow,Govt.,2016,100
716,Uttar Pradesh,K.D. Medical College Hospital & Research Centre Mathura,Mathura,Dr B R Ambedkar University Agra,Society,2015,250
717,Uttar Pradesh,Shaikh-UL-Hind Maulana Mahmood Hasan Medical College Saharanpur,Saharanpur,Ch. Charan Singh University Meerut,Govt.,2015,100
718,Uttar Pradesh,Heritage Institute of Medical Sciences Varanasi,Varanasi,Mahatma Gandhi Kashi Vidyapith Varanasi,Private,2015,200
719,Uttar Pradesh,Hind Institute of Medical Sciences Sitapur,Sitapur,King Georges Medical University Lucknow,Trust,2015,150
720,Uttar Pradesh,F.H. Medical College & Hospital Etamdapur Agra,Agra,Dr B R Ambedkar University Agra,Trust,2014,150
721,Uttar Pradesh,Rajshree Medical Research Institute Bareilly,Bareilly,M J P Rohilkhand University,Trust,2014,250
722,Uttar Pradesh,Rajkiya Medical College Jalaun Orai,Orai,King Georges Medical University Lucknow,Govt.,2013,100
723,Uttar Pradesh,Integral Institute of Medical Sciences & Research Lucknow,Lucknow,Integral University Lucknow,Private,2013,150
724,Uttar Pradesh,Government Medical College & Super Facility Hospital Azamgarh,Azamgarh,King Georges Medical University Lucknow,Govt.,2013,100
725,Uttar Pradesh,Mayo Institute of Medical Sciences Barabanki,Barabanki,Dr. Ram Manohar Lohia Avadh University Faizabad,Trust,2012,250
726,Uttar Pradesh,Government Medical College Kannauj,Kannauj,King Georges Medical University Lucknow,Govt.,2012,100
727,Uttar Pradesh,Rama Medical College Hospital and Research Centre Hapur,Hapur,Dr B R Ambedkar University Agra,Trust,2011,250
728,Uttar Pradesh,Career Instt. Of Medical Sciences & Hospital Lucknow,Lucknow,Dr. Ram Manohar Lohia Avadh University Faizabad,Trust,2011,150
729,Uttar Pradesh,School of Medical Sciences & Research Greater Noida,Greater Noida,Sharda University,Trust,2009,250
730,Uttar Pradesh,Rama Medical College and Hospital Kanpur,Kanpur,Dr B R Ambedkar University Agra,Trust,2008,150
731,Uttar Pradesh,Saraswati Institute of Medical Sciences Hapur,Hapur,Ch. Charan Singh University Meerut,Trust,2008,250
732,Uttar Pradesh,Shri Ram Murti Smarak Institute of Medical Sciences Bareilly,Bareilly,M J P Rohilkhand University,Trust,2005,150
733,Uttarakhand,Graphic Era Institute of Medical Sciences Dehradun,Dehradun,Graphic Era Institute of Medical Sciences Dehradun,Society,2024,150
734,Uttarakhand,Government Medical College Haridwar,Haridwar,H.N.B. Uttarakhand Medical University,Govt.,2024,100
735,Uttarakhand,Himalayan Institute of Medical Sciences Dehradun,Dehradun,Swami Rama Himalayan University,Trust,1995,150
736,Uttarakhand,Shri Guru Ram Rai Institute of Medical & Health Sciences Dehradun,Dehradun,Shri Guru Ram Rai University,Society,2006,150
737,Uttarakhand,All India Institute of Medical Sciences Rishikesh,Rishikesh,Statutory Autonomous AIIMS(Rishikesh),Govt.,2012,125
738,Uttarakhand,Government Medical College Haldwani,Haldwani,Hemwati Nandan Bahuguna Uttarakhand Medical Education University Dehradun,Govt.,2001,125
739,Uttarakhand,Gautam Buddha Chikitsa Mahavidyalaya Dehradun,Dehradun,Ras Bihari Bose Subharti University Dehradun,Trust,2022,150
740,Uttarakhand,Soban Singh Jeena Government Institute of Medical Science & Research Almora,Almora,HNB Uttarakhand Medical Education University Dehradun,Govt.,2021,100
741,Uttarakhand,Doon Medical College Dehradun,Dehradun,Hemwati Nandan Bahuguna Uttarakhand Medical Education University Dehradun,Govt.,2016,175
742,Uttarakhand,Veer Chandra Singh Garhwali Govt. Medical Science & Research Instt Srinagar Pauri Garhwal,Pauri Garhwal,Uttrakhand Technical University Dehradun,Govt.,2008,175
743,West Bengal,Krishnanagar Institute of Medical Sciences Nadia,Nadia,The West Bengal University of Health Sciences,Private,2024,100
744,West Bengal,East West Institute of Medical Sciences and Research Burdwan,Burdwan,The West Bengal University of Health Sciences,Private,2024,50
745,West Bengal,Jakir Hossain Medical College Burdwan,Burdwan,The West Bengal University of Health Sciences,Trust,2024,50
746,West Bengal,Institute of Postgraduate Medical Education & Research Kolkata,Kolkata,West Bengal University of Health Sciences Kolkata,Govt.,1957,200
747,West Bengal,JMN Medical College Nadia,Nadia,West Bengal University of Health Sciences Kolkata,Trust,2023,150
748,West Bengal,JIS School of Medical Science & Research Howrah,Howrah,JIS University Kolkata,Society,2023,150
749,West Bengal,All India Institute of Medical Sciences Kalyani,Kalyani,Statutory Autonomous AIIMS(Kalyani),Govt.,2019,125
750,West Bengal,Burdwan Medical College Burdwan,Burdwan,West Bengal University of Health Sciences Kolkata,Govt.,1969,200
751,West Bengal,North Bengal Medical College Darjeeling,Darjeeling,West Bengal University of Health Sciences Kolkata,Govt.,1968,200
752,West Bengal,Govt. Medical College Kolkata,Kolkata,West Bengal University of Health Sciences Kolkata,Govt.,1838,250
753,West Bengal,Nilratan Sircar Medical College Kolkata,Kolkata,West Bengal University of Health Sciences Kolkata,Govt.,1948,250
754,West Bengal,RG Kar Medical College Kolkata,Kolkata,West Bengal University of Health Sciences Kolkata,Govt.,1916,251
755,West Bengal,Bankura Sammilani Medical College Bankura,Bankura,West Bengal University of Health Sciences Kolkata,Govt.,1956,200
756,West Bengal,Calcutta National Medical College Kolkata,Kolkata,West Bengal University of Health Sciences Kolkata,Govt.,1948,250
757,West Bengal,Santiniketan Medical College Bolpur,Bolpur,The West Bengal University of Health Sciences,Trust,2021,150
758,West Bengal,Purulia Government Medical College & Hospital,Purulia,West Bengal University of Health Sciences Kolkata,Govt.,2020,100
759,West Bengal,Raiganj Government Medical College & Hospital Raiganj,Raiganj,West Bengal University of Health Sciences Kolkata,Govt.,2019,100
760,West Bengal,Diamond Harbour Government Medical College and Hospital,South 24 Parganas,West Bengal University of Health Sciences Kolkata,Govt.,2019,100
761,West Bengal,Coochbehar Government Medical College & Hospital Coochbehar,Coochbehar,West Bengal University of Health Sciences Kolkata,Govt.,2019,100
762,West Bengal,Rampurhat Government Medical College & Hospital Rampurhat,Rampurhat,West Bengal University of Health Sciences Kolkata,Govt.,2019,100
763,West Bengal,Shri Ramkrishna Institute of Medical Sciences & Sanaka Hospitals Durgapur,Durgapur,West Bengal University of Health Sciences Kolkata,Trust,2019,200
764,West Bengal,Jagannath Gupta Institute of Medical Sciences & Hospital Kolkata,Kolkata,West Bengal University of Health Sciences Kolkata,Trust,2018,200
765,West Bengal,Gouri Devi Institute of Medical Sciences and Hospital Durgapur,Durgapur,West Bengal University of Health Sciences Kolkata,Society,2016,200
766,West Bengal,IQ-City Medical College Burdwan,Burdwan,West Bengal University of Health Sciences Kolkata,Trust,2013,250
767,West Bengal,Employees State Insurance Corporation Medical College Joka Kolkata,Joka,West Bengal University of Health Sciences Kolkata,Govt.,2013,100
768,West Bengal,Murshidabad Medical College & Hospitals Murshidabad,Murshidabad,West Bengal University of Health Sciences Kolkata,Govt.,2012,125
769,West Bengal,College of Medicine and Sagore Dutta Hospital Kamarhati,Kamarhati,West Bengal University of Health Sciences Kolkata,Govt.,2011,125
770,West Bengal,Malda Medical College & Hospital Malda,Malda,West Bengal University of Health Sciences Kolkata,Govt.,2011,125
771,West Bengal,ICARE Institute of Medical Sciences & Research Haldia Purba Midnapore,Purba Midnapore,West Bengal University of Health Sciences Kolkata,Trust,2011,150
772,West Bengal,College of Medicine and JNM Hospital Kalyani Nadia,Kalyani,West Bengal University of Health Sciences Kolkata,Govt.,2010,125
773,West Bengal,Jalpaiguri Government Medical College,Jalpaiguri,West Bengal University of Health Sciences,Govt.,2022,100
774,West Bengal,Tamralipto Government Medical College & Hospital,Purba Medinipur,West Bengal University of Health Sciences,Govt.,2022,100
775,West Bengal,Prafulla Chandra Sen Government Medical College & Hospital,Hooghly,West Bengal University of Health Sciences,Govt.,2022,100
776,West Bengal,Barasat Government Medical College & Hospital,North Twenty Four Parganas,West Bengal University of Health Sciences,Govt.,2022,100
777,West Bengal,Jhargram Government Medical College & Hospital Jhargram,Jhargram,West Bengal University of Health Sciences,Govt.,2022,100
778,West Bengal,Sarat Chandra Chattopadhyay Government Medical College & Hospital,Howrah,West Bengal University of Health Sciences,Govt.,2022,100
779,West Bengal,KPC Medical College Jadavpur Kolkata,Jadavpur,West Bengal University of Health Sciences Kolkata,Private,2008,200
780,West Bengal,Midnapore Medical College Midnapore,Midnapore,West Bengal University of Health Sciences Kolkata,Govt.,2001,200
