SlNo,State,CollegeName,District,University,Management,YearOfInception,AnnualIntake
457,Punjab,Punjab Institute of Medical Sciences Jalandhar,Jalandhar,Baba Farid University of Health Sciences Faridkot,Trust,2011,150
458,Rajasthan,Government Medical College Jhunjhunu,Jhunjhunu,Rajasthan University of Medical Sciences,Govt.,2024,100
459,Rajasthan,Sudha Medical College Kota,Kota,Rajasthan University of Health Sciences,Society,2024,100
460,Rajasthan,Vyas Medical College & Hospital Jodhpur,Jodhpur,Rajasthan University of Health Sciences Jaipur,Private,2024,100
461,Rajasthan,Government Medical College Baran,Baran,Rajasthan University of Health Sciences Jaipur,Govt.,2024,100
462,Rajasthan,Government Medical College Nagaur,Nagaur,Rajasthan University of Health Sciences Jaipur,Govt.,2024,100
463,Rajasthan,Government Medical College Banswara,Banswara,Rajasthan University of Health Sciences Jaipur,Govt. Society,2024,100
464,Rajasthan,JIET Medical College and Hospital Jodhpur,Jodhpur,Rajasthan University of Health Sciences Jaipur,Trust,2024,50
465,Rajasthan,Government Medical College Bundi,Bundi,Rajasthan University of Health Sciences,Govt.,2023,100
466,Rajasthan,Government Medical College Hanumangarh,Hanumangarh,Rajasthan University of Health Sciences,Govt.,2023,100
467,Rajasthan,Government Medical College Dausa,Dausa,Rajasthan University of Health Sciences,Govt.,2023,100
468,Rajasthan,Government Medical College Alwar,Alwar,Rajasthan University of Health Sciences,Govt.,2023,100
469,Rajasthan,Government Medical College Karauli,Karauli,Rajasthan University of Health Sciences,Govt.,2023,100
470,Rajasthan,Government Medical College Kota,Kota,Rajasthan University of Health Sciences,Govt.,1992,250
471,Rajasthan,Sardar Patel Medical College Bikaner,Bikaner,Rajasthan University of Health Sciences,Govt.,1959,250
472,Rajasthan,Jawaharlal Nehru Medical College Ajmer,Ajmer,Rajasthan University of Health Sciences,Govt.,1965,250
473,Rajasthan,Mahatma Gandhi Medical College and Hospital Sitapur Jaipur,Sitapur,Mahatma Gandhi University of Medical Science & Technology Jaipur,Trust,2001,250
474,Rajasthan,National Institute of Medical Science & Research Jaipur,Jaipur,NIMS University Deemed Jaipur,Trust,2004,250
475,Rajasthan,SMS Medical College Jaipur,Jaipur,Rajasthan University of Health Sciences,Govt.,1947,250
476,Rajasthan,All India Institute of Medical Sciences Jodhpur,Jodhpur,Statutory Autonomous AIIMS(Jodhpur),Govt.,2012,125
477,Rajasthan,Dr SN Medical College Jodhpur,Jodhpur,Rajasthan University of Health Sciences,Govt.,1965,250
478,Rajasthan,R N T Medical College Udaipur,Udaipur,Rajasthan University of Health Sciences,Govt.,1961,250
479,Rajasthan,Dr S S Tantia Medical College Hospital & Research Centre Sri Ganganagar,Sri Ganganagar,Tantia University,Private,2021,150
480,Rajasthan,Employees State Insurance Corporation Medical College Alwar,Alwar,Rajasthan University of Health Sciences,Govt.,2021,100
481,Rajasthan,Shri Kalyan Govt. Medical College Sikar,Sikar,Rajasthan University of Health Sciences,Govt.,2020,100
482,Rajasthan,Government Medical College Barmer,Barmer,Rajasthan University of Health Sciences,Govt.,2019,100
483,Rajasthan,Government Medical College Bhilwara,Bhilwara,Rajasthan University of Health Sciences,Govt.,2018,150
484,Rajasthan,Government Medical College Churu,Churu,Rajasthan University of Health Sciences,Govt.,2018,150
485,Rajasthan,Government Medical College Pali,Pali,Rajasthan University of Health Sciences,Govt.,2018,150
486,Rajasthan,Government Medical College Bharatpur,Bharatpur,Rajasthan University of Health Sciences,Govt.,2018,150
487,Rajasthan,Government Medical College Dungarpur,Dungarpur,Rajasthan University of Health Sciences,Govt.,2018,150
488,Rajasthan,Ananta Institute of Medical Sciences & Research Centre Rajsamand,Rajsamand,Rajasthan University of Health Sciences,Society,2016,150
489,Rajasthan,Jaipur National University Institute of Medical Sciences and Research Centre Jagatpura Jaipur,Jagatpura,Jaipur National University Private,Private,2016,250
490,Rajasthan,Pacific Institute of Medical Sciences Umarda Udaipur,Udaipur,Sai Tirupati University Udaipur,Society,2015,200
491,Rajasthan,Geetanjali Institute of Medical Sciences Udaipur,Udaipur,Rajasthan University of Health Sciences,Trust,2008,250
492,Rajasthan,American International Institute of Medical Sciences Bedwas,Bedwas,Rajasthan University of Health Sciences,Private,2016,150
493,Rajasthan,RUHS College of Medical Sciences Jaipur,Jaipur,Rajasthan University of Health Sciences,Govt.,2014,150
494,Rajasthan,Government Medical College Dholpur,Dholpur,Rajasthan University of Health Sciences,Govt.,2022,100
495,Rajasthan,Government Medical College Sirohi,Sirohi,Rajasthan University of Health Sciences,Govt.,2022,101
496,Rajasthan,Government Medical College Sri Ganganagar,Sri Ganganagar,Rajasthan University of Health Sciences,Govt.,2022,100
497,Rajasthan,Government Medical College Chittorgarh,Chittorgarh,Rajasthan University of Health Sciences,Govt.,2022,100
498,Rajasthan,Pacific Medical College & Hospital Bhilo Ka Bedla Udaipur,Udaipur,Pacific Medical University Udaipur,Trust,2014,150
499,Rajasthan,Jhalawar Medical College Jhalawar,Jhalawar,Rajasthan University,Govt.,2008,200
500,Rajasthan,Government Medical College Sawai Madhopur,Sawai Madhopur,Rajasthan University of Health Sciences Jaipur,Govt.,2024,100
501,Sikkim,Sikkim Manipal Institute of Medical Sciences Gangtok,Gangtok,Sikkim Manipal Univ. of Health Medical & Tech. Scs,Trust,2000,150
502,Tamil Nadu,Annaii Medical College and Rajalakshmi Health City Kancheepuram,Kancheepuram,Dr. M.G.R. University of Health Sciences Tamilnadu,Govt.,2024,100
503,Tamil Nadu,J R Medical College and Hospital Villupuram,Villupuram,Bharath Institute of Higher Education & Research Deemed,Society,2024,150
504,Tamil Nadu,Kanyakumari Medical Mission Research Centre Kanyakumari,Kanyakumari,St. Joseph's University,Trust,2024,100
505,Tamil Nadu,Nandha Medical College & Hospital Erode,Erode,The Tamilnadu Dr. MGR Medical University Chennai,Trust,2023,150
506,Tamil Nadu,Dhanalakshmi Srinivasan Institute of Medical Sciences and Hospital Perambalur,Perambalur,Dhanalakshmi Srinivasan Institute of Science and Research Deemed,Trust,2023,150
507,Tamil Nadu,All India Institute of Medical Science Madurai,Madurai,,Govt.,2015,50
508,Tamil Nadu,Sree Balaji Medical College and Hospital Chennai,Chennai,Bharath Institute of Higher Education & Research Deemed Chennai,Trust,2003,250
509,Tamil Nadu,PSP Medical College Hospital and Research Institute Chennai,Chennai,The Tamilnadu Dr. MGR Medical University Chennai,Trust,2023,150
510,Tamil Nadu,Rajah Muthiah Medical College Annamalainagar,Annamalainagar,Annamalai University,Trust,1985,150
511,Tamil Nadu,Govt. Mohan Kumaramangalam Medical College Salem,Salem,The Tamilnadu Dr. MGR Medical University Chennai,Govt.,1986,100
512,Tamil Nadu,Karpaga Vinayaga Institute of Medical Sciences Maduranthagam,Maduranthagam,The Tamilnadu Dr. MGR Medical University Chennai,Trust,2009,150
513,Tamil Nadu,Shri Sathya Sai Medical College and Research Institute Kancheepuram,Kancheepuram,Sri Balaji Vidyapeeth Deemed University Pondicherry,Trust,2008,250
514,Tamil Nadu,PSG Institute of Medical Sciences Coimbatore,Coimbatore,The Tamilnadu Dr. MGR Medical University Chennai,Trust,1985,250
515,Tamil Nadu,Government Erode Medical College & Hospital Perundurai,Perundurai,The Tamilnadu Dr. MGR Medical University Chennai,Govt.,1992,100
516,Tamil Nadu,Christian Medical College Vellore,Vellore,The Tamilnadu Dr. MGR Medical University Chennai,Trust,1942,100
517,Tamil Nadu,Madras Medical College Chennai,Chennai,The Tamilnadu Dr. MGR Medical University Chennai,Govt.,1835,250
518,Tamil Nadu,Coimbatore Medical College Coimbatore,Coimbatore,The Tamilnadu Dr. MGR Medical University Chennai,Govt.,1966,200
519,Tamil Nadu,Kilpauk Medical College Chennai,Chennai,The Tamilnadu Dr. MGR Medical University Chennai,Govt.,1960,150
520,Tamil Nadu,Thanjavur Medical College Thanjavur,Thanjavur,The Tamilnadu Dr. MGR Medical University Chennai,Govt.,1959,150
521,Tamil Nadu,Stanley Medical College Chennai,Chennai,The Tamilnadu Dr. MGR Medical University Chennai,Govt.,1838,250
522,Tamil Nadu,Madurai Medical College Madurai,Madurai,The Tamilnadu Dr. MGR Medical University Chennai,Govt.,1954,250
523,Tamil Nadu,Chettinad Hospital & Research Institute Kanchipuram,Kanchipuram,Chettinad Academy of Research and Education Deemed,Trust,2006,250
524,Tamil Nadu,Sree Mookambika Institute of Medical Sciences Kanyakumari,Kanyakumari,The Tamilnadu Dr. MGR Medical University Chennai,Trust,2006,150
525,Tamil Nadu,K A P Viswanatham Government Medical College Trichy,Trichy,The Tamilnadu Dr. MGR Medical University Chennai,Govt.,1998,150
526,Tamil Nadu,Sri Ramachandra Medical College & Research Institute Chennai,Chennai,Sri Ramachandra Institute of Higher Education & Research Deemed Chennai,Trust,1985,250
527,Tamil Nadu,KanyaKumari Government Medical College Asaripallam,Asaripallam,The Tamilnadu Dr. MGR Medical University Chennai,Govt.,2003,150
528,Tamil Nadu,Vinayaka Missions Kirupananda Variyar Medical College Salem,Salem,Vinayaka Missions University Deemed Salem,Trust,1996,150
529,Tamil Nadu,Thoothukudi Medical College Thoothukudi,Thoothukudi,The Tamilnadu Dr. MGR Medical University Chennai,Govt.,2000,150
530,Tamil Nadu,Meenakshi Medical College and Research Institute Enathur,Enathur,Meenakshi University Deemed Chennai,Trust,2003,250
531,Tamil Nadu,Tagore Medical College and Hospital Chennai,Chennai,The Tamilnadu Dr. MGR Medical University Chennai,Trust,2010,150
532,Tamil Nadu,Theni Government Medical College Theni,Theni,The Tamilnadu Dr. MGR Medical University Chennai,Govt.,2006,100
533,Tamil Nadu,Chengalpattu Medical College Chengalpattu,Chengalpattu,The Tamilnadu Dr. MGR Medical University Chennai,Govt.,1965,100
534,Tamil Nadu,Government Vellore Medical College Vellore,Vellore,The Tamilnadu Dr. MGR Medical University Chennai,Govt.,2005,100
535,Tamil Nadu,Tirunelveli Medical College Tirunelveli,Tirunelveli,The Tamilnadu Dr. MGR Medical University Chennai,Govt.,1965,250
536,Tamil Nadu,Government Dharmapuri Medical College Dharmapuri,Dharmapuri,The Tamilnadu Dr. MGR Medical University Chennai,Govt.,2008,100
537,Tamil Nadu,Saveetha Medical College and Hospital Kanchipuram,Kanchipuram,Saveetha University Deemed Chennai,Trust,2008,250
538,Tamil Nadu,Government Medical College Namakkal,Namakkal,The Tamilnadu Dr. MGR Medical University Chennai,Govt.,2021,100
539,Tamil Nadu,Government Medical College Ramanathapuram,Ramanathapuram,The Tamilnadu Dr. MGR Medical University Chennai,Govt.,2021,100
540,Tamil Nadu,Swamy Vivekanandha Medical College Hospital And Research Institute Namakkal,Namakkal,The Tamilnadu Dr. MGR Medical University Chennai,Trust,2021,150
541,Tamil Nadu,Government Medical College Thiruvallur,Thiruvallur,The Tamilnadu Dr. MGR Medical University Chennai,Govt.,2021,100
542,Tamil Nadu,Arunai Medical College And Hospital Tiruvannamalai,Tiruvannamalai,The Tamilnadu Dr. MGR Medical University Chennai,Trust,2021,150
543,Tamil Nadu,Government Medical College Tiruppur,Tiruppur,The Tamilnadu Dr. MGR Medical University Chennai,Govt.,2021,100
544,Tamil Nadu,Government Medical College Kallakurichi,Kallakurichi,The Tamilnadu Dr. MGR Medical University Chennai,Govt.,2021,150
545,Tamil Nadu,Government Medical College Virudhunagar,Virudhunagar,The Tamilnadu Dr. MGR Medical University Chennai,Govt.,2021,150
546,Tamil Nadu,Government Medical College The Nilgiris,The Nilgiris,The Tamilnadu Dr. MGR Medical University Chennai,Govt.,2021,150
547,Tamil Nadu,Srinivasan Medical College and Hospital Tiruchirappalli,Tiruchirappalli,Dhanalakshmi Srinivasan University,Trust,2021,150
548,Tamil Nadu,Faculty of Medicine Sri Lalithambigai Medical College and Hospital Chennai,Chennai,Dr. MGR Educational and Research Institute Deemed Chennai,Trust,2021,150
549,Tamil Nadu,VELS Medical College & Hospital Tiruvallur,Tiruvallur,Vels Institute Of Science Technology & Advanced Studies Deemed,Trust,2021,150
550,Tamil Nadu,Government Medical College Dindigul,Dindigul,The Tamilnadu Dr. MGR Medical University Chennai,Govt.,2021,150
551,Tamil Nadu,Government Medical College Krishnagiri,Krishnagiri,The Tamilnadu Dr. MGR Medical University Chennai,Govt.,2021,150
552,Tamil Nadu,Government Medical College Nagapattinam,Nagapattinam,The Tamilnadu Dr. MGR Medical University Chennai,Govt.,2021,150
553,Tamil Nadu,Government Medical College Ariyalur,Ariyalur,The Tamilnadu Dr. MGR Medical University Chennai,Govt.,2021,150
554,Tamil Nadu,ST Peters Medical College Hospital & Research Institute Hosur,Hosur,The Tamilnadu Dr. MGR Medical University Chennai,Trust,2021,150
555,Tamil Nadu,Indira Medical College & Hospitals Thiruvallur,Thiruvallur,The Tamilnadu Dr. MGR Medical University Chennai,Private,2020,150
556,Tamil Nadu,Bhaarat Medical College & Hospital Chennai,Chennai,Bharath Institute of Higher Education & Research Deemed Chennai,Trust,2020,150
557,Tamil Nadu,Panimalar Medical College Hospital & Research Institute Chennai,Chennai,The Tamilnadu Dr. MGR Medical University Chennai,Trust,2020,150
558,Tamil Nadu,KMCH Institute of Health Sciences and Research Coimbatore,Coimbatore,The Tamilnadu Dr. MGR Medical University Chennai,Private,2019,150
559,Tamil Nadu,Government Medical College Karur,Karur,The Tamilnadu Dr. MGR Medical University Chennai,Govt.,2019,150
560,Tamil Nadu,Government Medical College Pudukottai,Pudukottai,The Tamilnadu Dr. MGR Medical University Chennai,Govt.,2017,150
561,Tamil Nadu,Government Medical College & ESIC Hospital Coimbatore,Coimbatore,The Tamilnadu Dr. MGR Medical University Chennai,Govt.,2016,100
562,Tamil Nadu,Government Medical College Omandurar,Omandurar,The Tamilnadu Dr. MGR Medical University Chennai,Govt.,2015,100
563,Tamil Nadu,ESIC Medical College & PGIMSR K.K. Nagar Chennai,Chennai,The Tamilnadu Dr. MGR Medical University Chennai,Govt.,2013,150
564,Tamil Nadu,Velammal Medical College Hospital and Research Institute Madurai,Madurai,The Tamilnadu Dr. MGR Medical University Chennai,Trust,2013,150
565,Tamil Nadu,Government Thiruvannamalai Medical College Thiruvannamalai,Thiruvannamalai,The Tamilnadu Dr. MGR Medical University Chennai,Govt.,2013,100
566,Tamil Nadu,Government Sivagangai Medical College Sivaganga,Sivaganga,The Tamilnadu Dr. MGR Medical University Chennai,Govt.,2012,100
567,Tamil Nadu,Karpagam Faculty of Medical Sciences & Research Coimbatore,Coimbatore,The Tamilnadu Dr. MGR Medical University Chennai,Trust,2012,150
568,Tamil Nadu,Madha Medical College and Hospital Thandalam Chennai,Chennai,The Tamilnadu Dr. MGR Medical University Chennai,Trust,2011,150
569,Tamil Nadu,Annapoorna Medical College & Hospital Salem,Salem,The Tamilnadu Dr. MGR Medical University Chennai,Trust,2011,150
570,Tamil Nadu,Dhanalakshmi Srinivasan Medical College and Hospital Perambalur,Perambalur,The Tamilnadu Dr. MGR Medical University Chennai,Trust,2011,250
571,Tamil Nadu,Government Villupuram Medical College Villupuram,Villupuram,The Tamilnadu Dr. MGR Medical University Chennai,Govt.,2010,100
572,Tamil Nadu,Thiruvarur Govt. Medical College Thiruvarur,Thiruvarur,The Tamilnadu Dr. MGR Medical University Chennai,Govt.,2010,100
573,Tamil Nadu,Sri Muthukumaran Medical College Chennai,Chennai,The Tamilnadu Dr. MGR Medical University Chennai,Trust,2010,150
574,Tamil Nadu,Trichy SRM Medical College Hospital & Research Centre Trichy,Trichy,The Tamilnadu Dr. MGR Medical University Chennai,Trust,2009,250
575,Tamil Nadu,ACS Medical College and Hospital Chennai,Chennai,Dr. MGR Educational and Research Institute Deemed Chennai,Trust,2008,250
576,Tamil Nadu,Sri Venkateswaraa Medical College Hospital and Research Institute Chennai,Chennai,Sri Venkateswaraa University Chennai,Trust,2022,150
577,Tamil Nadu,Melmaruvathur Adiparasakthi Instt. Medical Sciences and Research Melmaruvathur,Melmaruvathur,The Tamilnadu Dr. MGR Medical University Chennai,Trust,2008,150
578,Tamil Nadu,SRM Medical College Hospital & Research Centre Kancheepuram,Kancheepuram,SRM Institute of Science & Technology,Trust,2005,250
579,Telangana,Government Medical College Jogulumba Gadwal,Jogulumba Gadwal,Kaloji Narayana Rao University of Health Sciences Warangal,Govt.,2024,50
580,Telangana,Government Medical College Mulugu,Mulugu,Kaloji Narayana Rao University of Health Sciences Warangal,Govt.,2024,50
581,Telangana,Government Medical College Narayanpet,Narayanpet,Kaloji Narayana Rao University of Health Sciences Warangal,Govt.,2024,50
582,Telangana,Government Medical College Narsampet,Narsampet,Kaloji Narayana Rao University of Health Sciences Warangal,Govt.,2024,50
583,Telangana,Government Medical College Quthbullapur,Quthbullapur,Kaloji Narayana Rao University of Health Sciences Warangal,Govt.,2024,50
584,Telangana,Government Medical College Medak,Medak,Kaloji Narayana Rao University of Health Sciences Warangal,Govt.,2024,50
585,Telangana,Autonomous State Medical College and Hospital Yadadri,Yadadri,Kaloji Narayana Rao University of Health Sciences Warangal,Govt.,2024,50
586,Telangana,Government Medical College Maheshwaram,Maheshwaram,Kaloji Narayana Rao University of Health Sciences Warangal,Govt.,2024,50
587,Telangana,Nova Institute of Medical Sciences and Research Centre Ranga Reddy,Ranga Reddy,Kaloji Narayana Rao University of Health Sciences Warangal,Society,2024,150
588,Telangana,Government Medical College Jayashankar Bhupalpally,Jayashankar Bhupalpally,Kaloji Narayana Rao University of Health Sciences Warangal,Govt.,2023,100
589,Telangana,Government Medical College Rajanna Sircilla,Rajanna Sircilla,Kaloji Narayana Rao University of Health Sciences Warangal,Govt.,2023,100
590,Telangana,Government Medical College Nirmal,Nirmal,Kaloji Narayana Rao University of Health Sciences Warangal,Govt.,2023,100
591,Telangana,Government Medical College Karimnagar,Karimnagar,Kaloji Narayana Rao University of Health Sciences Warangal,Govt.,2023,100
592,Telangana,Government Medical College Vikarabad,Vikarabad,Kaloji Narayana Rao University of Health Sciences Warangal,Govt.,2023,100
593,Telangana,Government Medical College Khammam,Khammam,Kaloji Narayana Rao University of Health Sciences Warangal,Govt.,2023,100
594,Telangana,Neelima Institute of Medical Sciences Medchal,Medchal,Anurag University,Trust,2023,150
595,Telangana,Government Medical College Kamareddy,Kamareddy,Kaloji Narayana Rao University of Health Sciences Warangal,Govt.,2023,100
596,Telangana,Government Medical College Kumuram Bheem Asifabad,Kumuram Bheem Asifabad,Kaloji Narayana Rao University of Health Sciences Warangal,Govt.,2023,100
597,Telangana,Government Medical College Jangaon,Jangaon,Kaloji Narayana Rao University of Health Sciences Warangal,Govt.,2023,100
